State,countyFIPS,County Name,population,2/5/2020,2/19/2020,3/4/2020,3/18/2020,4/1/2020,4/15/2020,4/29/2020,5/13/2020,5/27/2020,6/10/2020,6/24/2020,7/8/2020,7/22/2020,8/5/2020,8/19/2020,9/2/2020,9/16/2020,9/30/2020,10/14/2020,10/28/2020
CA,6081,San Mateo County,766573,0.0,0.0,2.0,78.0,308.0,359.0,389.0,379.0,448.0,512.0,486.0,782.0,1033.0,982.0,1563.0,990.0,931.0,708.0,672.0,610.0
CA,6083,Santa Barbara County,446499,0.0,0.0,0.0,3.0,108.0,223.0,151.0,891.0,248.0,240.0,726.0,1218.0,1474.0,1304.0,922.0,721.0,512.0,423.0,356.0,366.0
CA,6085,Santa Clara County,1927852,2.0,1.0,21.0,366.0,799.0,654.0,291.0,247.0,307.0,344.0,800.0,1720.0,2769.0,2807.0,3957.0,2717.0,1958.0,1619.0,1422.0,1757.0
CA,6087,Santa Cruz County,273213,0.0,0.0,0.0,13.0,41.0,42.0,31.0,19.0,59.0,34.0,91.0,173.0,345.0,348.0,350.0,332.0,218.0,298.0,239.0,215.0
CA,6089,Shasta County,180080,0.0,0.0,0.0,1.0,6.0,18.0,6.0,1.0,4.0,11.0,45.0,79.0,97.0,136.0,111.0,60.0,70.0,230.0,748.0,331.0
CA,6091,Sierra County,3005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
CA,6093,Siskiyou County,43539,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,8.0,12.0,7.0,22.0,34.0,25.0,26.0,18.0,8.0,17.0,31.0
CA,6095,Solano County,447643,0.0,0.0,0.0,8.0,46.0,87.0,113.0,143.0,105.0,115.0,447.0,858.0,1060.0,902.0,1059.0,645.0,399.0,432.0,489.0,572.0
CA,6097,Sonoma County,494336,0.0,0.0,1.0,7.0,83.0,69.0,72.0,101.0,191.0,147.0,285.0,531.0,754.0,967.0,1454.0,1255.0,821.0,674.0,1146.0,936.0
CA,6099,Stanislaus County,550660,0.0,0.0,0.0,5.0,39.0,133.0,162.0,187.0,151.0,346.0,766.0,1215.0,3980.0,2375.0,3576.0,1967.0,1175.0,435.0,618.0,630.0
CA,6101,Sutter County,96971,0.0,0.0,0.0,0.0,14.0,10.0,6.0,6.0,6.0,25.0,60.0,175.0,265.0,314.0,305.0,250.0,172.0,112.0,65.0,104.0
CA,6103,Tehama County,65084,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,8.0,47.0,39.0,67.0,92.0,83.0,84.0,49.0,108.0,141.0,190.0
CA,6105,Trinity County,12285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,5.0,2.0,1.0,4.0,8.0
CA,6107,Tulare County,466195,0.0,0.0,0.0,5.0,54.0,293.0,274.0,642.0,528.0,636.0,1101.0,1765.0,2305.0,2475.0,2758.0,1606.0,1044.0,781.0,748.0,715.0
CA,6109,Tuolumne County,54478,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,8.0,43.0,51.0,35.0,22.0,20.0,30.0,11.0,15.0,43.0
CA,6111,Ventura County,846006,0.0,0.0,0.0,13.0,147.0,205.0,152.0,208.0,292.0,387.0,856.0,1598.0,2191.0,1904.0,1441.0,1412.0,1036.0,945.0,704.0,756.0
CA,6113,Yolo County,220500,0.0,0.0,0.0,5.0,23.0,88.0,47.0,16.0,26.0,22.0,159.0,374.0,465.0,411.0,482.0,333.0,259.0,115.0,185.0,224.0
